subject	article	doi	interaction:001:predatorprey	interaction:002:symbiosis	interaction:003:mutualism	interaction:004:commensalism	interaction:005:parasitism	interaction:006:affecting	interaction:007:competition	interaction:008:amensalism	interaction:009:antagonism	interaction:010:facilitation	interaction:011:exclusion	interaction:012:invasion	interaction:013:pollination	interaction:014:eating	interaction:015:interaction	interaction:016:herbivory	interaction:017:detritivory	interaction:018:scavenging	interaction:019:poisoning	interaction:020:limiting	interaction:021:mating	interaction:022:hybridising	interaction:023:host	interaction:024:relationship	interaction:025:killing	interaction:026:attacking	interaction:027:impairing
Biochemistry	PLoS_One-5-1-2812491	10.1371/journal.pone.0008864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biochemistry	PLoS_One_2009_Jun_25_4(6)_e6044	10.1371/journal.pone.0006044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biochemistry	PLoS_One_2011_Apr_29_6(4)_e19268	10.1371/journal.pone.0019268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biochemistry	PLoS_One_2011_Apr_29_6(4)_e19266	10.1371/journal.pone.0019266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biochemistry	PLoS_ONE-4-5-2673045	10.1371/journal.pone.0005393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biochemistry	PLoS_ONE-4-5-2673041	10.1371/journal.pone.0005421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biochemistry	PLoS_One_2011_Aug_17_6(8)_e23507	10.1371/journal.pone.0023507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biochemistry	PLoS_One_2011_Apr_15_6(4)_e18722	10.1371/journal.pone.0018722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biochemistry	PLoS_One_2009_Jul_29_4(7)_e6418	10.1371/journal.pone.0006418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biochemistry	PLoS_ONE_2009_Mar_30_4(3)_e5053	10.1371/journal.pone.0005053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biochemistry	PLoS_One_2011_Aug_31_6(8)_e24334	10.1371/journal.pone.0024334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biochemistry	PLoS_One_2009_Jul_29_4(7)_e6413	10.1371/journal.pone.0006413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biochemistry	PLoS_One_2011_Feb_9_6(2)_e16757	10.1371/journal.pone.0016757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biochemistry	PLoS_One_2011_May_11_6(5)_e19836	10.1371/journal.pone.0019836	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0
